<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
RI.MICEX10INDEX;D;20090303;000000;1189.1100000;1214.0400000;1172.6000000;1206.8400000;24105395550
RI.MICEX10INDEX;D;20090304;000000;1218.7400000;1272.5200000;1218.1900000;1271.9500000;32568651301
RI.MICEX10INDEX;D;20090305;000000;1278.6900000;1285.6500000;1239.9800000;1254.4600000;23956935850
RI.MICEX10INDEX;D;20090306;000000;1251.0900000;1302.7100000;1241.8000000;1292.7500000;21678881281
RI.MICEX10INDEX;D;20090310;000000;1312.5800000;1427.6200000;1312.5800000;1417.3500000;41938487989
RI.MICEX10INDEX;D;20090311;000000;1426.4800000;1442.6300000;1384.4700000;1391.3900000;42472754920
RI.MICEX10INDEX;D;20090312;000000;1384.0700000;1405.9500000;1337.4700000;1381.5100000;35922162188
RI.MICEX10INDEX;D;20090313;000000;1425.4300000;1445.0800000;1405.0700000;1420.5100000;45091978519
RI.MICEX10INDEX;D;20090316;000000;1411.2500000;1451.8400000;1403.5900000;1451.1800000;35255118913
RI.MICEX10INDEX;D;20090317;000000;1455.8400000;1484.7200000;1445.7200000;1465.8400000;49936192651
RI.MICEX10INDEX;D;20090318;000000;1480.0600000;1499.3400000;1403.6100000;1406.1600000;41327172661
RI.MICEX10INDEX;D;20090319;000000;1433.6900000;1509.2100000;1433.6900000;1500.2200000;59700650056
RI.MICEX10INDEX;D;20090320;000000;1500.6700000;1536.9800000;1476.2800000;1527.5300000;48296256033
RI.MICEX10INDEX;D;20090323;000000;1561.5700000;1641.0700000;1561.5700000;1639.8500000;59258072492
RI.MICEX10INDEX;D;20090324;000000;1673.4700000;1681.4900000;1566.0300000;1582.5500000;48198342978
RI.MICEX10INDEX;D;20090325;000000;1575.5600000;1676.8800000;1560.6200000;1671.1600000;55383880455
RI.MICEX10INDEX;D;20090326;000000;1688.6400000;1703.7100000;1639.5600000;1660.4200000;42140585909
RI.MICEX10INDEX;D;20090327;000000;1664.7600000;1675.6200000;1559.0100000;1581.6900000;40793846955
RI.MICEX10INDEX;D;20090330;000000;1551.8700000;1554.7600000;1498.5600000;1501.3600000;31185659398
