<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
USDCB;D;20140501;000000;35.7227000;35.7227000;35.7227000;35.7227000;0
USDCB;D;20140506;000000;35.8381000;35.8381000;35.8381000;35.8381000;0
USDCB;D;20140507;000000;35.6550000;35.6550000;35.6550000;35.6550000;0
USDCB;D;20140508;000000;35.4971000;35.4971000;35.4971000;35.4971000;0
USDCB;D;20140509;000000;35.0343000;35.0343000;35.0343000;35.0343000;0
USDCB;D;20140513;000000;35.2091000;35.2091000;35.2091000;35.2091000;0
USDCB;D;20140514;000000;34.8789000;34.8789000;34.8789000;34.8789000;0
USDCB;D;20140515;000000;34.7090000;34.7090000;34.7090000;34.7090000;0
USDCB;D;20140516;000000;34.7005000;34.7005000;34.7005000;34.7005000;0
USDCB;D;20140517;000000;34.7794000;34.7794000;34.7794000;34.7794000;0
USDCB;D;20140520;000000;34.7394000;34.7394000;34.7394000;34.7394000;0
USDCB;D;20140521;000000;34.6007000;34.6007000;34.6007000;34.6007000;0
USDCB;D;20140522;000000;34.5078000;34.5078000;34.5078000;34.5078000;0
USDCB;D;20140523;000000;34.2802000;34.2802000;34.2802000;34.2802000;0
USDCB;D;20140524;000000;34.3139000;34.3139000;34.3139000;34.3139000;0
USDCB;D;20140527;000000;34.0771000;34.0771000;34.0771000;34.0771000;0
USDCB;D;20140528;000000;34.2571000;34.2571000;34.2571000;34.2571000;0
USDCB;D;20140529;000000;34.4895000;34.4895000;34.4895000;34.4895000;0
USDCB;D;20140530;000000;34.6481000;34.6481000;34.6481000;34.6481000;0
USDCB;D;20140531;000000;34.7352000;34.7352000;34.7352000;34.7352000;0
USDCB;D;20140603;000000;34.8887000;34.8887000;34.8887000;34.8887000;0
USDCB;D;20140604;000000;35.0115000;35.0115000;35.0115000;35.0115000;0
USDCB;D;20140605;000000;35.1398000;35.1398000;35.1398000;35.1398000;0
USDCB;D;20140606;000000;34.9043000;34.9043000;34.9043000;34.9043000;0
USDCB;D;20140607;000000;34.6573000;34.6573000;34.6573000;34.6573000;0
USDCB;D;20140610;000000;34.3303000;34.3303000;34.3303000;34.3303000;0
USDCB;D;20140611;000000;34.3681000;34.3681000;34.3681000;34.3681000;0
USDCB;D;20140612;000000;34.3227000;34.3227000;34.3227000;34.3227000;0
USDCB;D;20140617;000000;34.5654000;34.5654000;34.5654000;34.5654000;0
USDCB;D;20140618;000000;34.8095000;34.8095000;34.8095000;34.8095000;0
USDCB;D;20140619;000000;34.8232000;34.8232000;34.8232000;34.8232000;0
USDCB;D;20140620;000000;34.3025000;34.3025000;34.3025000;34.3025000;0
USDCB;D;20140621;000000;34.4190000;34.4190000;34.4190000;34.4190000;0
USDCB;D;20140624;000000;34.2797000;34.2797000;34.2797000;34.2797000;0
USDCB;D;20140625;000000;33.9812000;33.9812000;33.9812000;33.9812000;0
USDCB;D;20140626;000000;33.9070000;33.9070000;33.9070000;33.9070000;0
USDCB;D;20140627;000000;33.7508000;33.7508000;33.7508000;33.7508000;0
USDCB;D;20140628;000000;33.6306000;33.6306000;33.6306000;33.6306000;0
USDCB;D;20140701;000000;33.8434000;33.8434000;33.8434000;33.8434000;0
USDCB;D;20140702;000000;34.2275000;34.2275000;34.2275000;34.2275000;0
USDCB;D;20140703;000000;34.2496000;34.2496000;34.2496000;34.2496000;0
USDCB;D;20140704;000000;34.1949000;34.1949000;34.1949000;34.1949000;0
USDCB;D;20140705;000000;34.3236000;34.3236000;34.3236000;34.3236000;0
USDCB;D;20140708;000000;34.5691000;34.5691000;34.5691000;34.5691000;0
USDCB;D;20140709;000000;34.4258000;34.4258000;34.4258000;34.4258000;0
USDCB;D;20140710;000000;34.0758000;34.0758000;34.0758000;34.0758000;0
USDCB;D;20140711;000000;33.8353000;33.8353000;33.8353000;33.8353000;0
USDCB;D;20140712;000000;34.0582000;34.0582000;34.0582000;34.0582000;0
USDCB;D;20140715;000000;34.3135000;34.3135000;34.3135000;34.3135000;0
USDCB;D;20140716;000000;34.3723000;34.3723000;34.3723000;34.3723000;0
USDCB;D;20140717;000000;34.3853000;34.3853000;34.3853000;34.3853000;0
USDCB;D;20140718;000000;34.7998000;34.7998000;34.7998000;34.7998000;0
USDCB;D;20140719;000000;35.1627000;35.1627000;35.1627000;35.1627000;0
USDCB;D;20140722;000000;35.0900000;35.0900000;35.0900000;35.0900000;0
USDCB;D;20140723;000000;35.0387000;35.0387000;35.0387000;35.0387000;0
USDCB;D;20140724;000000;34.8101000;34.8101000;34.8101000;34.8101000;0
USDCB;D;20140725;000000;35.0786000;35.0786000;35.0786000;35.0786000;0
USDCB;D;20140726;000000;35.0535000;35.0535000;35.0535000;35.0535000;0
USDCB;D;20140729;000000;35.3457000;35.3457000;35.3457000;35.3457000;0
USDCB;D;20140730;000000;35.6339000;35.6339000;35.6339000;35.6339000;0
USDCB;D;20140731;000000;35.7271000;35.7271000;35.7271000;35.7271000;0
USDCB;D;20140801;000000;35.4438000;35.4438000;35.4438000;35.4438000;0
USDCB;D;20140802;000000;35.7272000;35.7272000;35.7272000;35.7272000;0
USDCB;D;20140805;000000;35.6605000;35.6605000;35.6605000;35.6605000;0
USDCB;D;20140806;000000;35.7987000;35.7987000;35.7987000;35.7987000;0
USDCB;D;20140807;000000;36.1102000;36.1102000;36.1102000;36.1102000;0
USDCB;D;20140808;000000;36.2496000;36.2496000;36.2496000;36.2496000;0
USDCB;D;20140809;000000;36.4461000;36.4461000;36.4461000;36.4461000;0
USDCB;D;20140812;000000;36.0475000;36.0475000;36.0475000;36.0475000;0
USDCB;D;20140813;000000;36.0890000;36.0890000;36.0890000;36.0890000;0
USDCB;D;20140814;000000;36.2222000;36.2222000;36.2222000;36.2222000;0
USDCB;D;20140815;000000;36.0395000;36.0395000;36.0395000;36.0395000;0
USDCB;D;20140816;000000;36.0014000;36.0014000;36.0014000;36.0014000;0
USDCB;D;20140819;000000;36.0294000;36.0294000;36.0294000;36.0294000;0
USDCB;D;20140820;000000;36.1094000;36.1094000;36.1094000;36.1094000;0
